id block state chan freq value
040 05 OM 3 0.070 -83.357
040 05 OM 3 0.075 -89.295
040 05 OM 3 0.080 -87.556
040 05 OM 3 0.085 -74.500
040 05 OM 3 0.090 -72.835
040 05 OM 3 0.095 -80.701
040 05 OM 3 0.100 -87.519
040 05 OM 4 0.005 -57.970
040 05 OM 4 0.010 -66.129
040 05 OM 4 0.015 -69.126
040 05 OM 4 0.020 -69.598
040 05 OM 4 0.025 -75.242
040 05 OM 4 0.030 -77.134
040 05 OM 4 0.035 -75.844
040 05 OM 4 0.040 -71.648
040 05 OM 4 0.045 -68.033
040 05 OM 4 0.050 -74.506
040 05 OM 4 0.055 -82.037
040 05 OM 4 0.060 -84.622
040 05 OM 4 0.065 -79.080
040 05 OM 4 0.070 -82.512
040 05 OM 4 0.075 -86.382
040 05 OM 4 0.080 -84.001
040 05 OM 4 0.085 -71.792
040 05 OM 4 0.090 -70.100
040 05 OM 4 0.095 -77.572
040 05 OM 4 0.100 -84.576
040 05 OM 5 0.005 -53.341
040 05 OM 5 0.010 -61.845
040 05 OM 5 0.015 -68.492
040 05 OM 5 0.020 -69.407
040 05 OM 5 0.025 -77.113
040 05 OM 5 0.030 -77.032
040 05 OM 5 0.035 -75.754
040 05 OM 5 0.040 -70.775
040 05 OM 5 0.045 -68.914
040 05 OM 5 0.050 -77.549
040 05 OM 5 0.055 -82.667
040 05 OM 5 0.060 -85.096
040 05 OM 5 0.065 -80.924
040 05 OM 5 0.070 -81.996
040 05 OM 5 0.075 -84.689
040 05 OM 5 0.080 -83.297
040 05 OM 5 0.085 -76.143
040 05 OM 5 0.090 -74.229
040 05 OM 5 0.095 -80.590
040 05 OM 5 0.100 -86.756
040 05 OM 6 0.005 -56.848
040 05 OM 6 0.010 -65.011
040 05 OM 6 0.015 -67.928
040 05 OM 6 0.020 -68.783
040 05 OM 6 0.025 -76.600
040 05 OM 6 0.030 -76.277
040 05 OM 6 0.035 -75.505
040 05 OM 6 0.040 -70.558
040 05 OM 6 0.045 -68.146
040 05 OM 6 0.050 -75.949
040 05 OM 6 0.055 -83.101
040 05 OM 6 0.060 -82.273
040 05 OM 6 0.065 -78.834
040 05 OM 6 0.070 -81.895
040 05 OM 6 0.075 -85.519
040 05 OM 6 0.080 -83.598
040 05 OM 6 0.085 -73.490
040 05 OM 6 0.090 -71.361
040 05 OM 6 0.095 -78.510
040 05 OM 6 0.100 -84.369
040 05 OM 7 0.005 -57.780
040 05 OM 7 0.010 -65.952
040 05 OM 7 0.015 -72.664
040 05 OM 7 0.020 -72.557
040 05 OM 7 0.025 -76.176
040 05 OM 7 0.030 -76.093
040 05 OM 7 0.035 -73.649
040 05 OM 7 0.040 -71.985
040 05 OM 7 0.045 -71.609
040 05 OM 7 0.050 -78.472
040 05 OM 7 0.055 -79.454
040 05 OM 7 0.060 -79.233
040 05 OM 7 0.065 -78.949
040 05 OM 7 0.070 -81.641
040 05 OM 7 0.075 -84.524
